the theme of contrast,تضاد تم
organic structures,ساختارهای ارگانیک
the newest technologies,فناوری‌های جدیدترین
minute detail,جزئیات ریز
a large scale,مقیاسی بزرگ
creative exploration,کاوش خلاقانه
students year-first,دانشجویان سال اول
extended period,مدت طولانی
quality time,وقت با کیفیت
personal freedom,آزادی شخصی
lonely period,دوره تنهایی
socially successful,موفق از نظر اجتماعی
emotional roller coaster,نوسانات عاطفی
new relationships,روابط جدید
personal property,اموال شخصی
social skills,مهارت‌های اجتماعی
consume enough fluid,مصرف مایعات کافی
stay hydrated,هیدراته ماندن
feel tired,احساس خستگی
get headaches,دچار سردرد شدن
perform at your best,بهترین عملکرد را داشتن
well-known figure,چهره شناخته‌شده
public administration,اداره امور عمومی
academic debate,بحث‌های دانشگاهی
social policy,سیاست اجتماعی
legal positivism,حقوق مثبت‌گرایی
welfare economics,اقتصاد رفاهی
Royal Assent,تأیید سلطنتی
scholarly edition,نسخه علمی
editorial task,وظیفه ویرایشی
herbal remedies,درمان‌های گیاهی
medical use,استفاده پزشکی
clay tablets,لوح‌های گلی
illustrated manuscript,نسخه خطی مصور
Christian and Islamic worlds,جهان‌های مسیحیت و اسلام
valuable information,اطلاعات ارزشمند
floral fabric,پارچه گل‌دار
urban development,توسعه شهری
serious rethink,بازنگری جدی
chronic disease,بیماری مزمن
rising road tolls,افزایش عوارض جاده‌ای
urban environments,محیط‌های شهری
bleak future,آینده تاریک
getting worse,بدتر شدن
healthier cities,شهرهای سالم‌تر
more equitable cities,شهرهای عادلانه‌تر
vegetable grown widely,سبزی به‌طور گسترده‌ای کشت شده
home gardener,باغبان خانگی
food value,ارزش غذایی
relative ease of culture,سهولت نسبی در کشت
related wild species,گونه‌های وحشی مرتبط
Native Americans,بومیان آمریکایی
distinguishing feature,ویژگی متمایز
economic character,ماهیت اقتصادی
world of business,دنیای کسب‌وکار
buyers and sellers,خریداران و فروشندگان
hard bargaining,چانه‌زنی سخت
skilled salesperson,فروشنده ماهر
arousing attention,جلب توجه
ethics of trading,اخلاق تجارت
false or deceptive claims,ادعاهای نادرست یا گمراه‌کننده
advertising switch-and-bait,تبلیغات طعمه و تغییر
philosophy of mind,فلسفه ذهن
area of problems,حوزه مشکلات
exact equivalent,معادل دقیق
profound philosophical assumptions,فرضیات فلسفی عمیق
unexpressed assumptions,فرضیات بیان نشده
international trade,تجارت بین‌المللی
European language,زبان اروپایی
grammatical structure,ساختار دستوری
mother tongue,زبان مادری
contact languages,زبان‌های تماس
in any depth,به طور عمقی
performance appraisals,ارزیابی عملکرد
little value,ارزش کم
performance reviews,بازبینی‌های عملکرد
more regular catch-ups,دیدارهای منظم‌تر
famous dictionaries,فرهنگنامه‌های معروف
in detail,به طور مفصل
scholarly achievement,دستاورد علمی
extensive dictionary,فرهنگ لغت گسترده
complex dictionary,فرهنگ لغت پیچیده
French dictionaries,فرهنگ لغت فرانسوی
extremely energetic,بسیار پرانرژی
sheepdog trials,مسابقات سگ‌های چوپان
domestic dogs,سگ‌های خانگی
traditional work,کار سنتی
herding livestock,گله‌داری دام
throughout the world,در سرتاسر جهان
beach resort,اقامتگاه ساحلی
sandy beaches,سواحل شنی
peaceful relaxing atmosphere,فضای آرامش‌بخش و دلپذیر
summer homes,خانه‌های تابستانی
cosmopolitan city,شهر چندملیتی
holiday seasons,فصل‌های تعطیلات
turquoise waters,آب‌های فیروزه‌ای
accounting management,حسابداری مدیریت
information providing,ارائه اطلاعات
organization’s objectives,اهداف سازمان
financial accounting,حسابداری مالی
past financial performance,عملکرد مالی گذشته
future performance,عملکرد آینده
external environment,محیط خارجی
ingenious ability,توانایی مبتکرانه
engineering the plants,مهندسی کردن گیاهان
genetically modified (GM) crops,محصولات دستکاری‌شده ژنتیکی (تراریخته)
comprehensive review,بررسی جامع
scientific evidence,شواهد علمی
pointless aversion,بیزاری بی‌معنا
harmful to farmers,مضر برای کشاورزان
mini-lectures,سخنرانی‌های کوچک
educational role,نقش آموزشی
difficult aspects,جنبه‌های دشوار
adequate understanding,درک کافی
entire group,کل گروه
provoke discussion,بحث راه انداختن
diet varies,رژیم غذایی تغییر می‌کند
small mammals,پستانداران کوچک
home ranges,قلمروهای خانگی
dense shrubs,درختچه‌های متراکم
selective preference,ترجیح انتخابی
strong preference,ترجیح قوی
emotions are contagious,احساسات مسری هستند
emotional energies,انرژی‌های احساسی
codependent relationships,روابط وابسته
greater insight,بینش بیشتر
urban explorers,کاوشگران شهری
street artists,هنرمندان خیابانی
energy demands,نیازهای انرژی
surrounding metropolis,کلان‌شهر اطراف
wide range,دامنه گسترده
general education,آموزش عمومی
groundbreaking literature,ادبیات پیشگام
area of interest,حوزه علاقه
make sense,درک کردن
research findings,یافته‌های پژوهشی
key points,نکات کلیدی
socio-economic trend,روند اجتماعی-اقتصادی
traditional communal form,شکل سنتی جمعی
certain individuals,برخی از افراد
Roman Army,ارتش روم
Roman Empire,امپراتوری روم
gender equality campaign,کمپین برابری جنسیتی
cultural change,تغییر فرهنگی
traditional roles,نقش‌های سنتی
Electric eels,مارماهی‌های الکتریکی
debilitating blows,ضربات ناتوان‌کننده
powerful current,جریان قوی
women’s participation,مشارکت زنان
labor force,نیروی کار
domestic activities,فعالیت‌های خانگی
father’s relationship,رابطه پدر
income provider,تأمین‌کننده درآمد
family responsibilities,مسئولیت‌های خانوادگی
paid work,کار مزدی
retail giant,غول خرده‌فروشی
greenhouse gas emissions,انتشار گازهای گلخانه‌ای
business emission,انتشار تجاری
emission data,داده‌های انتشار
climate change,تغییرات اقلیمی
government campaigners,کمپین‌کنندگان دولتی
environmental invigilators,ناظران محیط زیست
political and social movements,جنبش‌های سیاسی و اجتماعی
center stage,صحنه اصلی
deeply affected,به شدت تحت تأثیر قرار داد
break with tradition,گسست از سنت
all kinds of predictions,انواع پیش‌بینی‌ها
extreme weather conditions,شرایط آب‌وهوایی شدید
storms and hurricanes,طوفان‌ها و گردبادها
weather systems,سیستم‌های آب‌وهوایی
general forecasting,پیش‌بینی کلی
far-reaching effects,تأثیرات گسترده
environments extreme,محیطهای سخت

lakes covered ice permanently,دریاچه های دائماً پوشیده از یخ

research papers,مقالات پژوهشی

